"confidence","rule","preferred","variants"
"high","case/punctuation-insensitive","2008-r2","2008-r2 [tag:4]; 2008r2 [tag:2]"
"high","case/punctuation-insensitive","advanced-hunting","advanced-hunting [tag:7]; Advanced Hunting [tag:1]; advancedhunting [tag:1]"
"high","case/punctuation-insensitive","azure-active-directory","azure-active-directory [category:2]; azure-active-directory [tag:1]; azureactivedirectory [tag:1]"
"high","case/punctuation-insensitive","azure-sentinel","azure-sentinel [category:1]; azuresentinel [tag:1]"
"high","case/punctuation-insensitive","cloud-app-security","cloud-app-security [tag:2]; cloud-app-security [category:2]; cloudappsecurity [tag:1]"
"high","case/punctuation-insensitive","command-line","command-line [tag:11]; commandline [category:1]"
"high","case/punctuation-insensitive","credentialguard","credentialguard [tag:2]; credential-guard [category:1]"
"high","case/punctuation-insensitive","defender-atp","defender-atp [category:17]; defender-atp [tag:15]; defenderatp [tag:1]"
"high","case/punctuation-insensitive","driver-store","driver-store [tag:5]; driver-store [category:4]; driverstore [tag:4]"
"high","case/punctuation-insensitive","group-policy","group-policy [category:92]; group-policy [tag:80]; grouppolicy [tag:1]"
"high","case/punctuation-insensitive","hard-link","hard-link [tag:5]; hardlink [tag:2]"
"high","case/punctuation-insensitive","Microsoft Defender","Microsoft Defender [category:8]; microsoft-defender [category:2]"
"high","case/punctuation-insensitive","Microsoft Sentinel","Microsoft Sentinel [category:2]; microsoft sentinel [tag:1]"
"high","case/punctuation-insensitive","office-2010","office-2010 [tag:19]; office-2010 [category:12]; office2010 [category:10]; office2010 [tag:1]"
"high","case/punctuation-insensitive","office-365","office-365 [category:12]; office365 [tag:6]"
"high","case/punctuation-insensitive","powershell-core","powershell-core [tag:2]; powershellcore [tag:1]"
"high","case/punctuation-insensitive","rest-api","rest-api [tag:1]; restapi [tag:1]"
"high","case/punctuation-insensitive","screen-capture","screen-capture [tag:5]; screencapture [category:5]"
"high","case/punctuation-insensitive","secure-boot","secure-boot [tag:1]; secureboot [category:1]"
"high","case/punctuation-insensitive","service-pack","service-pack [tag:2]; service-pack [category:2]; servicepack [category:1]"
"high","case/punctuation-insensitive","task-sequence","task-sequence [tag:5]; tasksequence [tag:1]; tasksequence [category:1]"
"high","case/punctuation-insensitive","thin-client","thin-client [tag:3]; thinclient [category:1]"
"high","case/punctuation-insensitive","widnows-10","widnows-10 [tag:2]; widnows10 [tag:1]"
"high","case/punctuation-insensitive","windows-10","windows-10 [category:10]; windows-10 [tag:7]; windows10 [tag:1]"
"high","case/punctuation-insensitive","windows-7","windows-7 [category:169]; windows-7 [tag:111]; windows7 [category:47]; windows7 [tag:24]"
"high","case/punctuation-insensitive","windows-8","windows-8 [category:53]; windows-8 [tag:46]; windows8 [category:3]"
"high","case/punctuation-insensitive","windows-server-2008-r2","windows-server-2008-r2 [category:19]; windows-server-2008r2 [category:5]; windows-server-2008r2 [tag:1]"
"high","case/punctuation-insensitive","windowsinsider","windowsinsider [tag:2]; windows-insider [tag:1]"
"medium","singular/plural heuristic","application","application [tag:5]; applications [tag:3]; applications [category:1]"
"medium","singular/plural heuristic","concept","concept [tag:1]; concepts [tag:1]"
"medium","singular/plural heuristic","cost","cost [tag:1]; costs [tag:1]"
"medium","singular/plural heuristic","day","day [tag:1]; days [tag:1]"
"medium","singular/plural heuristic","drivers","drivers [category:13]; drivers [tag:7]; driver [tag:4]"
"medium","singular/plural heuristic","edition","edition [tag:2]; editions [tag:2]"
"medium","singular/plural heuristic","eventlog","eventlog [tag:8]; eventlog [category:4]; eventlogs [tag:1]"
"medium","singular/plural heuristic","folder","folder [tag:1]; folders [tag:1]"
"medium","singular/plural heuristic","job","job [tag:2]; job [category:1]; jobs [tag:1]"
"medium","singular/plural heuristic","labs","labs [category:2]; lab [tag:1]; lab [category:1]"
"medium","singular/plural heuristic","libraries","libraries [tag:2]; library [category:2]; library [tag:1]"
"medium","singular/plural heuristic","metro-style-apps","metro-style-apps [tag:3]; metro-style-app [category:2]"
"medium","singular/plural heuristic","mouse-pointer","mouse-pointer [tag:1]; mouse-pointers [tag:1]"
"medium","singular/plural heuristic","pending-filerename-operation","pending-filerename-operation [tag:1]; pendingfilerenameoperations [tag:1]"
"medium","singular/plural heuristic","policies","policies [tag:1]; policy [tag:1]"
"medium","singular/plural heuristic","port","port [tag:3]; port [category:1]; ports [tag:1]"
"medium","singular/plural heuristic","scheduled-task","scheduled-task [tag:3]; scheduled-tasks [tag:2]; scheduled-tasks [category:1]"
"medium","singular/plural heuristic","serviceplan","serviceplan [tag:1]; serviceplans [tag:1]"
"medium","singular/plural heuristic","sessions","sessions [tag:2]; session [tag:1]"
"medium","singular/plural heuristic","tip","tip [category:247]; tip [tag:18]; tips [tag:9]"
"medium","singular/plural heuristic","tools","tools [category:171]; tool [tag:28]; tools [tag:26]"
"medium","singular/plural heuristic","trends","trends [tag:2]; trend [category:1]"
"medium","singular/plural heuristic","utility","utility [tag:9]; utilities [tag:4]"
"medium","singular/plural heuristic","webcast","webcast [tag:1]; webcasts [tag:1]"
"low","edit-distance heuristic","_machineaccount","_machineaccount [tag:1] ; macros [tag:1]"
"low","edit-distance heuristic","64-bit","64-bit [tag:6] ; 64-bit [category:6]"
"low","edit-distance heuristic","access","access [tag:1] ; accidental [tag:1]"
"low","edit-distance heuristic","access","access [tag:1] ; accountskuid [tag:1]"
"low","edit-distance heuristic","access","access [tag:1] ; acctinfo-dll [tag:1]"
"low","edit-distance heuristic","access","access [tag:1] ; acctinfo2-dll [tag:1]"
"low","edit-distance heuristic","accidental","accidental [tag:1] ; accountskuid [tag:1]"
"low","edit-distance heuristic","accidental","accidental [tag:1] ; acctinfo-dll [tag:1]"
"low","edit-distance heuristic","accidental","accidental [tag:1] ; acctinfo2-dll [tag:1]"
"low","edit-distance heuristic","accountskuid","accountskuid [tag:1] ; acctinfo-dll [tag:1]"
"low","edit-distance heuristic","accountskuid","accountskuid [tag:1] ; acctinfo2-dll [tag:1]"
"low","edit-distance heuristic","acctinfo-dll","acctinfo-dll [tag:1] ; acctinfo2-dll [tag:1]"
"low","edit-distance heuristic","act-55","act-55 [tag:1] ; action-center [tag:1]"
"low","edit-distance heuristic","act-55","act-55 [tag:1] ; active-directory-system-discovery [tag:1]"
"low","edit-distance heuristic","act-55","act-55 [tag:1] ; activex-installer-service [tag:1]"
"low","edit-distance heuristic","action-center","action-center [tag:1] ; active-directory-system-discovery [tag:1]"
"low","edit-distance heuristic","action-center","action-center [tag:1] ; activex-installer-service [tag:1]"
"low","edit-distance heuristic","activation","activation [tag:12] ; act-55 [tag:1]"
"low","edit-distance heuristic","activation","activation [tag:12] ; action-center [tag:1]"
"low","edit-distance heuristic","activation","activation [tag:12] ; active-directory-system-discovery [tag:1]"
