"Name","Count"
"windows-7","111"
"powershell","98"
"group-policy","80"
"gpo","62"
"windows-8","46"
"deployment","39"
"virtualization","39"
"security","38"
"configmgr","30"
"tool","28"
"tools","26"
"windows7","24"
"registry","22"
"script","22"
"Uncategorized","22"
"compatibility","21"
"active-directory","20"
"office-2010","19"
"tip","18"
"azure","17"
"vista","17"
"defender-atp","15"
"hyper-v","15"
"installation","15"
"app-v","14"
"download","14"
"group-policy-preferences","14"
"internet-explorer","14"
"kms","14"
"windows","14"
"windows-vista","14"
"branchcache","13"
"dism","13"
"microsoft","13"
"performance","13"
"activation","12"
"history","12"
"network","12"
"vmware","12"
"bios","11"
"boot","11"
"command-line","11"
"med-v","11"
"vpro","11"
"windows-xp","11"
"citrix","10"
"configuration","10"
"kql","10"
"licensing","10"
"msi","10"
"xp-mode","10"
"admx","9"
"application-compatibility","9"
"bandwidth","9"
"mdatp","9"
"support","9"
"tcpip","9"
"tips","9"
"troubleshooting","9"
"utility","9"
"vhd","9"
"windows-2008-r2","9"
"adk","8"
"configuration-manager","8"
"eventlog","8"
"learning","8"
"power-management","8"
"usb","8"
"video","8"
"advanced-hunting","7"
"amt","7"
"antivirus","7"
"applocker","7"
"bits","7"
"cloud","7"
"desktop","7"
"drivers","7"
"dvd","7"
"google","7"
"image","7"
"office-365-2","7"
"process","7"
"remote-control","7"
"sccm-2012","7"
"search","7"
"transfer","7"
"windows-10","7"
"windows-update","7"
"winpe","7"
"64-bit","6"
"bitlocker","6"
"central-store","6"
"devices","6"
"diagnostic","6"
"energy","6"
"files","6"
"fun","6"
"gui","6"
"hp","6"
"ie8","6"
"mak","6"
"mount","6"
"office365","6"
"remote","6"
"scan","6"
"scripting","6"
"server-2008-r2","6"
"services","6"
"ue-v","6"
"update","6"
"volume-licensing","6"
"vulnerability","6"
"wan","6"
"wireless","6"
"wsus","6"
"application","5"
"application-virtualization","5"
"automation","5"
"copy","5"
"DefenderforEndpoint","5"
"desktop-virtualization","5"
"disable","5"
"disk","5"
"driver-store","5"
"enterprise","5"
"explorer","5"
"extract","5"
"features","5"
"hard-link","5"
"imagex","5"
"iso","5"
"knowledge","5"
"lifecycle","5"
"log-analytics","5"
"logging","5"
"mdop","5"
"migration","5"
"mui","5"
"packaging","5"
"planning","5"
"protection","5"
"reboot","5"
"rtm","5"
"screen-capture","5"
"screenshot","5"
"settings","5"
"speed","5"
"start-menu","5"
"startup","5"
"task-sequence","5"
"vdi","5"
"virtual","5"
"virtual-pc","5"
"wallpaper","5"
"windows-8-1","5"
"2008-r2","4"
"activex","4"
"assessment","4"
"bcd","4"
"book","4"
"collections","4"
"convert","4"
"dart","4"
"data","4"
"defender-2","4"
"design","4"
"detection","4"
"directaccess","4"
"driver","4"
"driverstore","4"
"environment","4"
"federated-search","4"
"file-transfer","4"
"hardware","4"
"hibernate","4"
"http","4"
"intel","4"
"kb","4"
"knowledge-base","4"
